start,end,levels_per_side,anchor,step,first_gap,initial_order_count,profile_hint
2026-06-23 16:17:27.956000,2026-06-23 16:17:38.182000,50,4136.94,1.1,2.2,100,HISTORICAL_50
2026-06-23 20:47:08.133000,2026-06-23 20:47:17.892000,50,4113.47,0.87,1.74,100,HISTORICAL_50
2026-06-23 21:01:56.446000,2026-06-23 21:02:06.335000,50,4121.59,0.84,1.68,100,HISTORICAL_50
2026-06-24 00:34:33.997000,2026-06-24 00:34:43.780000,50,4098.57,0.78,1.56,100,HISTORICAL_50
2026-06-24 03:04:09.187000,2026-06-24 03:04:19.900000,50,4072.36,1.07,2.14,100,HISTORICAL_50
2026-06-24 03:12:28.155000,2026-06-24 03:12:38.863000,50,4089.72,1.09,2.18,100,HISTORICAL_50
2026-06-24 04:43:46.125000,2026-06-24 04:43:56.899000,50,4054.42,1.29,2.58,100,HISTORICAL_50
2026-06-24 04:55:02.118000,2026-06-24 04:55:12.863000,50,4064.92,1.32,2.64,100,HISTORICAL_50
2026-06-24 13:26:31.197000,2026-06-24 13:26:41.885000,50,4039.53,0.93,1.86,100,HISTORICAL_50
2026-06-24 13:39:08.352000,2026-06-24 13:39:19.096000,50,4049.79,0.95,1.9,100,HISTORICAL_50
2026-06-24 16:19:15.247000,2026-06-24 16:19:25.930000,50,4016.0,1.68,3.36,100,HISTORICAL_50
2026-06-24 21:10:22.166000,2026-06-24 21:10:32.874000,50,3976.36,1.21,2.42,100,HISTORICAL_50
2026-06-24 21:54:58.186000,2026-06-24 21:55:09.312000,50,3990.72,1.16,2.32,100,HISTORICAL_50
2026-06-25 01:35:47.183000,2026-06-25 01:35:57.895000,50,4013.67,0.95,1.9,100,HISTORICAL_50
2026-06-25 02:35:17.207000,2026-06-25 02:35:27.924000,50,3986.46,0.94,1.88,100,HISTORICAL_50
2026-06-25 03:21:07.143000,2026-06-25 03:21:17.818000,50,3998.78,1.15,2.3,100,HISTORICAL_50
2026-06-25 03:33:54.169000,2026-06-25 03:34:05.258000,50,3987.0,1.16,2.32,100,HISTORICAL_50
2026-06-25 03:54:56.158000,2026-06-25 03:55:07.010000,50,3979.71,1.24,2.48,100,HISTORICAL_50
