============================================================================================================
CYCLE 252  start=2026-07-28 20:34:12.155000  first_close=2026-07-29 19:42:06.984000  anchor=4024.77 step=1.3400
  positions=160  flatten_closes=11  realized=632.83
============================================================================================================
  time                     market      real      float      TOTAL  op  armed  dist_st    $/pt
  07-28 20:39:06          4023.43      0.00       0.00       0.00   1     59    -1.00     1.0
  07-28 20:47:12          4026.17      0.00      -2.74      -2.74   2     58     1.04     2.0  (+485s)
  07-28 20:55:30          4022.07      0.00      -2.74      -2.74   3     57    -2.01     3.0  (+498s)
  07-28 21:34:09          4027.47      0.00      -8.14      -8.14   4     56     2.01     4.0  (+2320s)
  07-28 22:34:23          4028.82      0.00      -8.14      -8.14   5     55     3.02     5.0  (+3613s)
  07-28 22:37:10          4030.13      0.00      -6.83      -6.83   6     54     4.00     6.0  (+168s)
  07-28 22:49:11          4029.05      2.88     -11.87      -8.99   5     54     3.19     5.0  (+721s)
  07-28 22:49:55          4027.57      2.98     -13.45     -10.47   4     54     2.09     4.0  (+43s)
  07-29 00:05:58          4027.49      2.98     -13.45     -10.47   5     54     2.03     5.0  (+4564s)
  07-29 00:21:00          4020.74      2.98     -20.20     -17.22   6     54    -3.01     6.0  (+902s)
  07-29 00:23:32          4019.40      2.98     -20.20     -17.22   7     53    -4.01     7.0  (+151s)
  07-29 00:24:07          4018.00      2.98     -18.80     -15.82   8     52    -5.05     8.0  (+35s)
  07-29 00:26:49          4018.90      7.63     -25.13     -17.50   7     52    -4.38     7.0  (+163s)
  07-29 00:27:09          4019.71     10.11     -28.30     -18.19   6     52    -3.78     6.0  (+20s)
  07-29 00:27:29          4020.50     10.35     -28.54     -18.19   5     52    -3.19     5.0  (+20s)
  07-29 00:32:17          4016.12     10.35     -32.92     -22.57   6     51    -6.46     6.0  (+288s)
  07-29 00:32:37          4014.64     10.35     -32.92     -22.57   7     50    -7.56     7.0  (+20s)
  07-29 00:32:57          4014.36     10.35     -32.64     -22.29   8     49    -7.77     8.0  (+20s)
  07-29 00:33:17          4015.04     14.71     -38.36     -23.65   7     49    -7.26     7.0  (+20s)
  07-29 00:34:47          4017.42     15.29     -41.32     -26.03   6     49    -5.49     6.0  (+90s)
  07-29 00:45:06          4017.97     15.29     -41.32     -26.03   7     49    -5.07     7.0  (+619s)
  07-29 01:11:23          4019.34     15.29     -42.69     -27.40   8     49    -4.05     8.0  (+1577s)
  07-29 01:14:13          4022.09     15.29     -48.19     -32.90   9     50    -2.00     9.0  (+170s)
  07-29 01:15:01          4019.98     15.29     -41.86     -26.57  10     49    -3.57    10.0  (+48s)
  07-29 01:17:37          4019.19     18.19     -41.60     -23.41   9     49    -4.16     9.0  (+156s)
  07-29 01:20:01          4017.43     20.74     -38.87     -18.13   8     49    -5.48     8.0  (+144s)
  07-29 01:22:15          4018.62     21.46     -41.97     -20.51   7     49    -4.59     7.0  (+134s)
  07-29 01:39:27          4019.26     21.46     -42.61     -21.15   8     49    -4.11     8.0  (+1032s)
  07-29 01:45:01          4021.79     21.46     -47.67     -26.21   9     50    -2.22     9.0  (+334s)
  07-29 01:45:21          4020.60     21.46     -44.10     -22.64  10     49    -3.11    10.0  (+20s)
  07-29 01:53:53          4023.43     21.46     -55.42     -33.96  11     49    -1.00    11.0  (+513s)
  07-29 01:58:00          4026.19     21.46     -69.22     -47.76  12     48     1.06    12.0  (+246s)
  07-29 02:01:21          4019.50     25.39     -46.39     -21.00  11     48    -3.93    11.0  (+202s)
  07-29 02:01:42          4019.59     27.59     -48.86     -21.27  10     48    -3.87    10.0  (+20s)
  07-29 02:06:51          4021.94     27.59     -53.56     -25.97  11     48    -2.11    11.0  (+309s)
  07-29 02:07:31          4023.40     27.59     -57.94     -30.35  12     48    -1.02    12.0  (+41s)
  07-29 02:10:01          4019.30     30.23     -44.18     -13.95  11     48    -4.08    11.0  (+150s)
  07-29 02:10:21          4020.04     33.59     -49.76     -16.17  10     48    -3.53    10.0  (+20s)
  07-29 02:10:41          4020.28     33.91     -50.56     -16.65   9     48    -3.35     9.0  (+20s)
  07-29 02:13:06          4020.71     33.91     -50.99     -17.08  10     48    -3.03    10.0  (+145s)
  07-29 02:15:14          4022.03     33.91     -53.63     -19.72  11     48    -2.04    11.0  (+128s)
  07-29 02:22:20          4026.92     34.64     -69.03     -34.39  10     49     1.60    10.0  (+426s)
  07-29 02:25:55          4026.13     34.64     -65.87     -31.23  11     49     1.01    11.0  (+216s)
  07-29 02:27:52          4023.16     34.64     -56.96     -22.32  12     48    -1.20    12.0  (+117s)
  07-29 03:00:19          4019.97     37.83     -47.39      -9.56  11     48    -3.58    11.0  (+1947s)
  07-29 03:01:32          4018.18     41.68     -45.87      -4.19  10     48    -4.92    10.0  (+72s)
  07-29 03:02:12          4019.52     42.87     -49.74      -6.87   9     48    -3.92     9.0  (+41s)
  07-29 03:04:05          4012.68     42.87     -42.90      -0.03  10     47    -9.02    10.0  (+113s)
  07-29 03:04:39          4010.85     42.87     -39.24       3.63  11     46   -10.39    11.0  (+34s)
  07-29 03:05:38          4012.35     46.64     -47.51      -0.87  10     46    -9.27    10.0  (+59s)
  07-29 03:05:58          4013.12     51.49     -53.90      -2.41   9     46    -8.69     9.0  (+20s)
  07-29 03:06:17          4013.12     57.63     -60.04      -2.41   8     46    -8.69     8.0  (+20s)
  07-29 03:06:38          4014.86     57.41     -59.82      -2.41   7     46    -7.40     7.0  (+20s)
  07-29 03:06:57          4014.03     57.74     -60.98      -3.24   6     46    -8.01     6.0  (+20s)
  07-29 03:08:02          4013.77     57.74     -61.50      -3.76   7     46    -8.21     7.0  (+65s)
  07-29 03:11:03          4015.60     57.74     -59.67      -1.93   8     47    -6.84     8.0  (+180s)
  07-29 03:11:23          4015.02     57.74     -59.67      -1.93   9     46    -7.28     9.0  (+20s)
  07-29 03:16:25          4014.71     58.05     -59.67      -1.62   8     46    -7.51     8.0  (+302s)
  07-29 03:16:45          4013.37     60.28     -61.90      -1.62   7     46    -8.51     7.0  (+20s)
  07-29 03:18:05          4015.36     60.28     -59.91       0.37   8     46    -7.02     8.0  (+80s)
  07-29 03:20:55          4016.72     60.28     -59.91       0.37   9     46    -6.01     9.0  (+170s)
  07-29 03:25:46          4016.69     60.31     -59.91       0.40   8     46    -6.03     8.0  (+291s)
  07-29 03:26:22          4016.73     60.31     -59.91       0.40   9     46    -6.00     9.0  (+36s)
  07-29 03:28:47          4018.07     60.31     -61.25      -0.94  10     46    -5.00    10.0  (+145s)
  07-29 03:30:27          4018.04     60.34     -61.22      -0.88   9     46    -5.02     9.0  (+100s)
  07-29 03:31:05          4018.06     60.34     -61.24      -0.90  10     46    -5.01    10.0  (+38s)
  07-29 03:32:05          4020.75     60.34     -66.62      -6.28  11     47    -3.00    11.0  (+60s)
  07-29 03:33:41          4018.74     60.34     -60.59      -0.25  12     46    -4.50    12.0  (+96s)
  07-29 03:35:03          4022.95     60.34     -77.43     -17.09  13     47    -1.36    13.0  (+82s)
  07-29 03:39:49          4028.52     62.73    -107.67     -44.94  12     47     2.80    12.0  (+286s)
