ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,time_dt,floating_at_end,floating_at_low,direction,date
3398671,9548647,2026-08-24 04:30:00,1787545800682,0,0,26011001,9548647,3,0.2,4656.08,0.0,0.0,0.0,0.0,XAUUSD.u,STR B25,,2026-08-24 04:30:00,-3992.600000000002,-4206.5999999999985,BUY,2026-08-24
3398497,9548645,2026-08-24 04:18:36,1787545116077,0,0,26011001,9548645,3,0.2,4654.54,0.0,0.0,0.0,0.0,XAUUSD.u,STR B24,,2026-08-24 04:18:36,-3961.800000000003,-4175.799999999999,BUY,2026-08-24
3714380,11041060,2026-08-28 16:00:22,1787932822248,0,0,26011001,11041060,3,0.15,4631.23,0.0,0.0,0.0,0.0,XAUUSD.u,STR B16,,2026-08-28 16:00:22,-2621.699999999996,-2782.1999999999935,BUY,2026-08-28
3520619,9718841,2026-08-25 17:41:40,1787679700848,0,0,26011001,9718841,3,0.06,4659.61,0.0,0.0,0.0,0.0,XAUUSD.u,STR B11,,2026-08-25 17:41:40,-1218.9599999999991,-1283.159999999998,BUY,2026-08-25
3408210,9586887,2026-08-24 08:19:02,1787559542021,0,0,26011001,9586887,3,0.05,4659.33,0.0,0.0,0.0,0.0,XAUUSD.u,STR B15,,2026-08-24 08:19:02,-1014.4000000000005,-1067.8999999999996,BUY,2026-08-24
3408079,9586885,2026-08-24 08:17:03,1787559423299,0,0,26011001,9586885,3,0.05,4657.78,0.0,0.0,0.0,0.0,XAUUSD.u,STR B14,,2026-08-24 08:17:03,-1006.6499999999997,-1060.1499999999987,BUY,2026-08-24
3408252,9593322,2026-08-24 08:19:58,1787559598664,0,0,26011001,9593322,3,0.05,4656.23,0.0,0.0,0.0,0.0,XAUUSD.u,STR B13,,2026-08-24 08:19:58,-998.8999999999988,-1052.399999999998,BUY,2026-08-24
3410719,9593412,2026-08-24 09:00:22,1787562022382,0,0,26011001,9593412,3,0.05,4654.68,0.0,0.0,0.0,0.0,XAUUSD.u,STR B12,,2026-08-24 09:00:22,-991.1500000000025,-1044.6500000000015,BUY,2026-08-24
3408373,9593424,2026-08-24 08:22:11,1787559731161,0,0,26011001,9593424,3,0.05,4653.13,0.0,0.0,0.0,0.0,XAUUSD.u,STR B11,,2026-08-24 08:22:11,-983.4000000000016,-1036.9000000000008,BUY,2026-08-24
3714579,11041380,2026-08-28 16:00:40,1787932840614,0,0,26011001,11041380,3,0.04,4616.68,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-28 16:00:40,-640.9200000000019,-683.7200000000012,BUY,2026-08-28
3658525,10980864,2026-08-27 16:20:57,1787847657824,0,0,26011001,10980864,3,0.04,4583.83,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-27 16:20:57,-509.52000000000044,-552.3199999999997,BUY,2026-08-27
3482186,9672228,2026-08-25 08:25:38,1787646338277,0,0,26011001,9672228,3,0.01,4652.88,0.0,0.0,0.0,0.0,XAUUSD.u,STR B8,,2026-08-25 08:25:38,-196.4300000000003,-207.13000000000014,BUY,2026-08-25
3410747,9595753,2026-08-24 09:00:41,1787562041283,0,0,26011001,9595753,3,0.01,4651.58,0.0,0.0,0.0,0.0,XAUUSD.u,STR B10,,2026-08-24 09:00:41,-195.1300000000001,-205.82999999999993,BUY,2026-08-24
3482079,9672226,2026-08-25 08:23:47,1787646227148,0,0,26011001,9672226,3,0.01,4651.33,0.0,0.0,0.0,0.0,XAUUSD.u,STR B7,,2026-08-25 08:23:47,-194.8800000000001,-205.57999999999993,BUY,2026-08-25
3410832,9595784,2026-08-24 09:03:15,1787562195808,0,0,26011001,9595784,3,0.01,4650.03,0.0,0.0,0.0,0.0,XAUUSD.u,STR B9,,2026-08-24 09:03:15,-193.57999999999993,-204.27999999999975,BUY,2026-08-24
3410778,9595788,2026-08-24 09:01:50,1787562110076,0,0,26011001,9595788,3,0.01,4648.48,0.0,0.0,0.0,0.0,XAUUSD.u,STR B8,,2026-08-24 09:01:50,-192.02999999999975,-202.7299999999996,BUY,2026-08-24
