trade_num,position_id,entry_deal_ticket,exit_deal_ticket,symbol,direction,grid_level,level_number,volume_lots,open_time,close_time,duration_seconds,duration_formatted,open_price,close_price,price_change,points_captured,gross_profit_usd,commission_usd,swap_usd,net_profit_usd,is_win,exit_type,exit_comment,sl_recorded_price,sl_slippage_points,account_balance_after_trade,cumulative_net_profit,day_of_week,hour_of_day,date
1,9525735,3347335,3347949,XAUUSD.u,BUY,STR B1,1,0.01,2026-08-21 13:03:11.986,2026-08-21 13:19:14.728,962.74,16m 2s,4592.61,4596.32,3.71,3.71,3.71,0.0,0.0,3.71,1,TRAILING_STOP,[sl 4596.32],4596.32,0.0,1003.71,3.71,Friday,13,2026-08-21
2,9525738,3347388,3348075,XAUUSD.u,BUY,STR B2,2,0.01,2026-08-21 13:03:49.402,2026-08-21 13:22:28.450,1119.05,18m 39s,4594.14,4599.62,5.48,5.48,5.48,0.0,0.0,5.48,1,TRAILING_STOP,[sl 4599.62],4599.62,0.0,1009.19,9.19,Friday,13,2026-08-21
3,9525740,3347877,3348076,XAUUSD.u,BUY,STR B3,3,0.01,2026-08-21 13:18:21.702,2026-08-21 13:22:28.450,246.75,4m 6s,4595.67,4599.62,3.95,3.95,3.95,0.0,0.0,3.95,1,TRAILING_STOP,[sl 4599.62],4599.62,0.0,1013.14,13.14,Friday,13,2026-08-21
4,9525742,3347914,3348078,XAUUSD.u,BUY,STR B4,4,0.01,2026-08-21 13:18:42.823,2026-08-21 13:22:30.708,227.88,3m 47s,4597.2,4598.08,0.88,0.88,0.88,0.0,0.0,0.88,1,TRAILING_STOP,[sl 4598.08],4598.08,0.0,1014.02,14.02,Friday,13,2026-08-21
5,9527361,3348109,3348229,XAUUSD.u,BUY,STR B4,4,0.01,2026-08-21 13:23:17.271,2026-08-21 13:24:51.457,94.19,1m 34s,4597.2,4597.39,0.19,0.19,0.19,0.0,0.0,0.19,1,TRAILING_STOP,[sl 4597.39],4597.39,0.0,1014.21,14.21,Friday,13,2026-08-21
6,9525739,3350098,3350751,XAUUSD.u,SELL,STR S2,2,0.01,2026-08-21 14:18:32.989,2026-08-21 14:35:58.828,1045.84,17m 25s,4588.02,4571.05,-16.97,16.97,16.97,0.0,0.0,16.97,1,BASKET_CLOSE,STR CLOSE,,,1031.18,31.18,Friday,14,2026-08-21
7,9525741,3350133,3350750,XAUUSD.u,SELL,STR S3,3,0.01,2026-08-21 14:18:58.850,2026-08-21 14:35:58.715,1019.87,16m 59s,4586.49,4571.05,-15.44,15.44,15.44,0.0,0.0,15.44,1,BASKET_CLOSE,STR CLOSE,,,1046.62,46.62,Friday,14,2026-08-21
8,9525743,3350195,3350749,XAUUSD.u,SELL,STR S4,4,0.01,2026-08-21 14:20:56.007,2026-08-21 14:35:58.602,902.6,15m 2s,4584.96,4571.05,-13.91,13.91,13.91,0.0,0.0,13.91,1,BASKET_CLOSE,STR CLOSE,,,1060.53,60.53,Friday,14,2026-08-21
9,9525745,3350218,3350748,XAUUSD.u,SELL,STR S5,5,0.01,2026-08-21 14:21:06.953,2026-08-21 14:35:58.490,891.54,14m 51s,4583.43,4571.05,-12.38,12.38,12.38,0.0,0.0,12.38,1,BASKET_CLOSE,STR CLOSE,,,1072.91,72.91,Friday,14,2026-08-21
10,9525747,3350417,3350747,XAUUSD.u,SELL,STR S6,6,0.01,2026-08-21 14:30:19.567,2026-08-21 14:35:58.377,338.81,5m 38s,4581.9,4571.15,-10.75,10.75,10.75,0.0,0.0,10.75,1,BASKET_CLOSE,STR CLOSE,,,1083.66,83.66,Friday,14,2026-08-21
11,9525749,3350434,3350746,XAUUSD.u,SELL,STR S7,7,0.01,2026-08-21 14:30:26.498,2026-08-21 14:35:58.264,331.77,5m 31s,4580.37,4571.15,-9.22,9.22,9.22,0.0,0.0,9.22,1,BASKET_CLOSE,STR CLOSE,,,1092.88,92.88,Friday,14,2026-08-21
12,9525755,3350519,3350745,XAUUSD.u,SELL,STR S8,8,0.01,2026-08-21 14:32:46.055,2026-08-21 14:35:58.150,192.09,3m 12s,4578.84,4571.16,-7.68,7.68,7.68,0.0,0.0,7.68,1,BASKET_CLOSE,STR CLOSE,,,1100.56,100.56,Friday,14,2026-08-21
13,9525757,3350571,3350744,XAUUSD.u,SELL,STR S9,9,0.01,2026-08-21 14:32:49.308,2026-08-21 14:35:58.037,188.73,3m 8s,4577.31,4571.09,-6.22,6.22,6.22,0.0,0.0,6.22,1,BASKET_CLOSE,STR CLOSE,,,1106.78,106.78,Friday,14,2026-08-21
14,9525759,3350669,3350743,XAUUSD.u,SELL,STR S10,10,0.01,2026-08-21 14:35:20.032,2026-08-21 14:35:57.924,37.89,37s,4575.78,4571.09,-4.69,4.69,4.69,0.0,0.0,4.69,1,BASKET_CLOSE,STR CLOSE,,,1111.47,111.47,Friday,14,2026-08-21
15,9525761,3350693,3350742,XAUUSD.u,SELL,STR S11,11,0.05,2026-08-21 14:35:29.023,2026-08-21 14:35:57.811,28.79,28s,4574.25,4571.09,-3.16,3.16,15.8,0.0,0.0,15.8,1,BASKET_CLOSE,STR CLOSE,,,1127.27,127.27,Friday,14,2026-08-21
16,9525763,3350710,3350741,XAUUSD.u,SELL,STR S12,12,0.05,2026-08-21 14:35:39.053,2026-08-21 14:35:57.699,18.65,18s,4572.72,4571.15,-1.57,1.57,7.85,0.0,0.0,7.85,1,BASKET_CLOSE,STR CLOSE,,,1135.12,135.12,Friday,14,2026-08-21
