ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
9525735,1787317368,1787317368515,1787317391,1787317391986,0,4,0,2,4,26011001,9525735,0,3,0.01,0.0,4592.61,0.0,0.0,4592.67,0.0,XAUUSD.u,STR B1,
9525737,1787317368,1787317368628,1787317945,1787317945331,0,5,0,2,4,26011001,9525737,0,3,0.01,0.0,4589.55,0.0,0.0,4589.54,0.0,XAUUSD.u,STR S1,
9525738,1787317368,1787317368743,1787317429,1787317429402,0,4,0,2,4,26011001,9525738,0,3,0.01,0.0,4594.14,0.0,0.0,4594.29,0.0,XAUUSD.u,STR B2,
9525739,1787317368,1787317368856,1787321912,1787321912989,0,5,0,2,4,26011001,9525739,0,3,0.01,0.0,4588.02,0.0,0.0,4587.98,0.0,XAUUSD.u,STR S2,
9525740,1787317368,1787317368969,1787318301,1787318301702,0,4,0,2,4,26011001,9525740,0,3,0.01,0.0,4595.67,0.0,0.0,4595.69,0.0,XAUUSD.u,STR B3,
9525741,1787317369,1787317369083,1787321938,1787321938850,0,5,0,2,4,26011001,9525741,0,3,0.01,0.0,4586.49,0.0,0.0,4586.44,0.0,XAUUSD.u,STR S3,
9525742,1787317369,1787317369197,1787318322,1787318322823,0,4,0,2,4,26011001,9525742,0,3,0.01,0.0,4597.2,0.0,0.0,4597.22,0.0,XAUUSD.u,STR B4,
9525743,1787317369,1787317369312,1787322056,1787322056007,0,5,0,2,4,26011001,9525743,0,3,0.01,0.0,4584.96,0.0,0.0,4584.84,0.0,XAUUSD.u,STR S4,
9525744,1787317369,1787317369426,1787318477,1787318477482,0,4,0,2,4,26011001,9525744,0,3,0.01,0.0,4598.73,0.0,0.0,4598.95,0.0,XAUUSD.u,STR B5,
9525745,1787317369,1787317369543,1787322066,1787322066953,0,5,0,2,4,26011001,9525745,0,3,0.01,0.0,4583.43,0.0,0.0,4583.43,0.0,XAUUSD.u,STR S5,
9525746,1787317369,1787317369656,1787318546,1787318546307,0,4,0,2,4,26011001,9525746,0,3,0.01,0.0,4600.26,0.0,0.0,4600.27,0.0,XAUUSD.u,STR B6,
9525747,1787317369,1787317369768,1787322619,1787322619567,0,5,0,2,4,26011001,9525747,0,3,0.01,0.0,4581.9,0.0,0.0,4581.9,0.0,XAUUSD.u,STR S6,
9525748,1787317369,1787317369882,1787319395,1787319395118,0,4,0,2,4,26011001,9525748,0,3,0.01,0.0,4601.79,0.0,0.0,4601.79,0.0,XAUUSD.u,STR B7,
9525749,1787317369,1787317369994,1787322626,1787322626498,0,5,0,2,4,26011001,9525749,0,3,0.01,0.0,4580.37,0.0,0.0,4580.21,0.0,XAUUSD.u,STR S7,
9525751,1787317370,1787317370107,1787319439,1787319439494,0,4,0,2,4,26011001,9525751,0,3,0.01,0.0,4603.32,0.0,0.0,4603.35,0.0,XAUUSD.u,STR B8,
9525755,1787317370,1787317370219,1787322766,1787322766055,0,5,0,2,4,26011001,9525755,0,3,0.01,0.0,4578.84,0.0,0.0,4578.55,0.0,XAUUSD.u,STR S8,
9525756,1787317370,1787317370334,1787322957,1787322957472,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4604.85,0.0,0.0,4571.17,0.0,XAUUSD.u,STR B9,
9525757,1787317370,1787317370446,1787322769,1787322769308,0,5,0,2,4,26011001,9525757,0,3,0.01,0.0,4577.31,0.0,0.0,4576.8,0.0,XAUUSD.u,STR S9,
9525758,1787317370,1787317370561,1787322957,1787322957360,0,4,0,2,2,26011001,0,0,3,0.01,0.01,4606.38,0.0,0.0,4571.14,0.0,XAUUSD.u,STR B10,
9525759,1787317370,1787317370675,1787322920,1787322920032,0,5,0,2,4,26011001,9525759,0,3,0.01,0.0,4575.78,0.0,0.0,4575.77,0.0,XAUUSD.u,STR S10,
9525760,1787317370,1787317370788,1787322957,1787322957247,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4607.91,0.0,0.0,4571.17,0.0,XAUUSD.u,STR B11,
9525761,1787317370,1787317370902,1787322929,1787322929023,0,5,0,2,4,26011001,9525761,0,3,0.05,0.0,4574.25,0.0,0.0,4574.25,0.0,XAUUSD.u,STR S11,
9525762,1787317371,1787317371019,1787322957,1787322957134,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4609.44,0.0,0.0,4571.15,0.0,XAUUSD.u,STR B12,
9525763,1787317371,1787317371131,1787322939,1787322939053,0,5,0,2,4,26011001,9525763,0,3,0.05,0.0,4572.72,0.0,0.0,4572.34,0.0,XAUUSD.u,STR S12,
9525764,1787317371,1787317371247,1787322957,1787322957021,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4610.97,0.0,0.0,4571.15,0.0,XAUUSD.u,STR B13,
9525765,1787317371,1787317371362,1787322954,1787322954466,0,5,0,2,4,26011001,9525765,0,3,0.05,0.0,4571.19,0.0,0.0,4571.18,0.0,XAUUSD.u,STR S13,
9525766,1787317371,1787317371476,1787322956,1787322956908,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4612.5,0.0,0.0,4571.15,0.0,XAUUSD.u,STR B14,
9525768,1787317371,1787317371591,1787322956,1787322956795,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4569.66,0.0,0.0,4571.14,0.0,XAUUSD.u,STR S14,
9525769,1787317371,1787317371704,1787322956,1787322956681,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4614.03,0.0,0.0,4571.1,0.0,XAUUSD.u,STR B15,
9525770,1787317371,1787317371817,1787322956,1787322956569,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4568.13,0.0,0.0,4571.08,0.0,XAUUSD.u,STR S15,
9525771,1787317371,1787317371931,1787322956,1787322956456,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4615.56,0.0,0.0,4571.05,0.0,XAUUSD.u,STR B16,
9525772,1787317372,1787317372046,1787322956,1787322956342,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4566.6,0.0,0.0,4571.06,0.0,XAUUSD.u,STR S16,
9525773,1787317372,1787317372159,1787322956,1787322956230,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4617.09,0.0,0.0,4571.12,0.0,XAUUSD.u,STR B17,
9525774,1787317372,1787317372272,1787322956,1787322956117,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4565.07,0.0,0.0,4571.07,0.0,XAUUSD.u,STR S17,
9525775,1787317372,1787317372385,1787322956,1787322956004,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4618.62,0.0,0.0,4571.08,0.0,XAUUSD.u,STR B18,
9525776,1787317372,1787317372500,1787322961,1787322961665,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4563.54,0.0,0.0,4571.28,0.0,XAUUSD.u,STR S18,
9525777,1787317372,1787317372618,1787322961,1787322961552,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4620.15,0.0,0.0,4571.6,0.0,XAUUSD.u,STR B19,
9525778,1787317372,1787317372732,1787322961,1787322961437,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4562.01,0.0,0.0,4571.59,0.0,XAUUSD.u,STR S19,
9525779,1787317372,1787317372845,1787322961,1787322961325,0,4,0,2,2,26011001,0,0,3,0.05,0.05,4621.68,0.0,0.0,4571.65,0.0,XAUUSD.u,STR B20,
9525780,1787317372,1787317372958,1787322961,1787322961212,0,5,0,2,2,26011001,0,0,3,0.05,0.05,4560.48,0.0,0.0,4571.62,0.0,XAUUSD.u,STR S20,
9525782,1787317373,1787317373071,1787322961,1787322961099,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4623.21,0.0,0.0,4571.75,0.0,XAUUSD.u,STR B21,
9525783,1787317373,1787317373184,1787322960,1787322960985,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4558.95,0.0,0.0,4571.74,0.0,XAUUSD.u,STR S21,
9525784,1787317373,1787317373296,1787322960,1787322960871,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4624.74,0.0,0.0,4571.75,0.0,XAUUSD.u,STR B22,
9525785,1787317373,1787317373409,1787322960,1787322960758,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4557.42,0.0,0.0,4571.74,0.0,XAUUSD.u,STR S22,
9525786,1787317373,1787317373523,1787322960,1787322960646,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4626.27,0.0,0.0,4571.78,0.0,XAUUSD.u,STR B23,
9525787,1787317373,1787317373636,1787322960,1787322960533,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4555.89,0.0,0.0,4571.73,0.0,XAUUSD.u,STR S23,
9525788,1787317373,1787317373750,1787322960,1787322960420,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4627.8,0.0,0.0,4571.74,0.0,XAUUSD.u,STR B24,
9525789,1787317373,1787317373864,1787322960,1787322960308,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4554.36,0.0,0.0,4571.69,0.0,XAUUSD.u,STR S24,
9525790,1787317373,1787317373977,1787322960,1787322960196,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4629.33,0.0,0.0,4571.78,0.0,XAUUSD.u,STR B25,
9525791,1787317374,1787317374091,1787322960,1787322960082,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4552.83,0.0,0.0,4571.43,0.0,XAUUSD.u,STR S25,
9525792,1787317374,1787317374203,1787322959,1787322959970,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4630.86,0.0,0.0,4571.39,0.0,XAUUSD.u,STR B26,
9525794,1787317374,1787317374315,1787322959,1787322959858,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4551.3,0.0,0.0,4571.38,0.0,XAUUSD.u,STR S26,
9525795,1787317374,1787317374428,1787322959,1787322959746,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4632.39,0.0,0.0,4571.37,0.0,XAUUSD.u,STR B27,
9525796,1787317374,1787317374541,1787322959,1787322959630,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4549.77,0.0,0.0,4571.47,0.0,XAUUSD.u,STR S27,
9525798,1787317374,1787317374666,1787322959,1787322959515,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4633.92,0.0,0.0,4571.48,0.0,XAUUSD.u,STR B28,
9525799,1787317374,1787317374778,1787322959,1787322959395,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4548.24,0.0,0.0,4571.47,0.0,XAUUSD.u,STR S28,
9525801,1787317374,1787317374898,1787322959,1787322959281,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4635.45,0.0,0.0,4571.48,0.0,XAUUSD.u,STR B29,
9525802,1787317375,1787317375013,1787322959,1787322959168,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4546.71,0.0,0.0,4571.46,0.0,XAUUSD.u,STR S29,
9525803,1787317375,1787317375127,1787322959,1787322959055,0,4,0,2,2,26011001,0,0,3,0.2,0.2,4636.98,0.0,0.0,4571.47,0.0,XAUUSD.u,STR B30,
9525804,1787317375,1787317375239,1787322958,1787322958941,0,5,0,2,2,26011001,0,0,3,0.2,0.2,4545.18,0.0,0.0,4571.03,0.0,XAUUSD.u,STR S30,
9527049,1787318354,1787318354728,1787318354,1787318354728,0,1,0,1,4,26011001,9525735,0,4,0.01,0.0,4596.32,0.0,0.0,4596.32,0.0,XAUUSD.u,[sl 4596.32],
9527287,1787318548,1787318548449,1787318548,1787318548450,0,1,0,1,4,26011001,9525738,0,4,0.01,0.0,4599.62,0.0,0.0,4599.62,0.0,XAUUSD.u,[sl 4599.62],
9527288,1787318548,1787318548449,1787318548,1787318548450,0,1,0,1,4,26011001,9525740,0,4,0.01,0.0,4599.62,0.0,0.0,4599.62,0.0,XAUUSD.u,[sl 4599.62],
9527293,1787318550,1787318550707,1787318550,1787318550708,0,1,0,1,4,26011001,9525742,0,4,0.01,0.0,4598.08,0.0,0.0,4598.08,0.0,XAUUSD.u,[sl 4598.08],
9527361,1787318597,1787318597244,1787318597,1787318597271,0,4,0,2,4,26011001,9527361,0,3,0.01,0.0,4597.2,0.0,0.0,4597.2,0.0,XAUUSD.u,STR B4,
9527558,1787318691,1787318691456,1787318691,1787318691457,0,1,0,1,4,26011001,9527361,0,4,0.01,0.0,4597.39,0.0,0.0,4597.39,0.0,XAUUSD.u,[sl 4597.39],
9527572,1787318701,1787318701101,1787318702,1787318702393,0,4,0,2,4,26011001,9527572,0,3,0.01,0.0,4597.2,0.0,0.0,4597.28,0.0,XAUUSD.u,STR B4,
9533636,1787322957,1787322957586,1787322957,1787322957586,0,0,0,0,4,26011001,9525765,0,3,0.05,0.0,0.0,0.0,0.0,4571.15,0.0,XAUUSD.u,STR CLOSE,
9533637,1787322957,1787322957699,1787322957,1787322957699,0,0,0,0,4,26011001,9525763,0,3,0.05,0.0,0.0,0.0,0.0,4571.15,0.0,XAUUSD.u,STR CLOSE,
9533638,1787322957,1787322957811,1787322957,1787322957811,0,0,0,0,4,26011001,9525761,0,3,0.05,0.0,0.0,0.0,0.0,4571.09,0.0,XAUUSD.u,STR CLOSE,
9533639,1787322957,1787322957924,1787322957,1787322957924,0,0,0,0,4,26011001,9525759,0,3,0.01,0.0,0.0,0.0,0.0,4571.09,0.0,XAUUSD.u,STR CLOSE,
9533640,1787322958,1787322958037,1787322958,1787322958037,0,0,0,0,4,26011001,9525757,0,3,0.01,0.0,0.0,0.0,0.0,4571.09,0.0,XAUUSD.u,STR CLOSE,
9533641,1787322958,1787322958150,1787322958,1787322958150,0,0,0,0,4,26011001,9525755,0,3,0.01,0.0,0.0,0.0,0.0,4571.16,0.0,XAUUSD.u,STR CLOSE,
9533642,1787322958,1787322958264,1787322958,1787322958264,0,0,0,0,4,26011001,9525749,0,3,0.01,0.0,0.0,0.0,0.0,4571.15,0.0,XAUUSD.u,STR CLOSE,
9533643,1787322958,1787322958377,1787322958,1787322958377,0,0,0,0,4,26011001,9525747,0,3,0.01,0.0,0.0,0.0,0.0,4571.15,0.0,XAUUSD.u,STR CLOSE,
9533644,1787322958,1787322958490,1787322958,1787322958490,0,0,0,0,4,26011001,9525745,0,3,0.01,0.0,0.0,0.0,0.0,4571.05,0.0,XAUUSD.u,STR CLOSE,
9533645,1787322958,1787322958602,1787322958,1787322958602,0,0,0,0,4,26011001,9525743,0,3,0.01,0.0,0.0,0.0,0.0,4571.05,0.0,XAUUSD.u,STR CLOSE,
