2	2026.08.13 02:52:45.108	LineFile	error opening the 'C:\Program Files\MetaTrader 5\MQL5\Experts\TrendGridRecovery.mq5' file
2	2026.08.13 02:52:45.109	Editor	opening existing document failed
0	2026.08.13 02:52:45.239	MCP	started on 127.0.0.1:22345

0	2026.08.13 02:55:27.782	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\ReferenceSafeEA.mq5 - 0 errors, 0 warnings, 511 ms elapsed, cpu='AVX2 + FMA3'

0	2026.08.13 06:57:48.940	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\ReferenceSafeEA.mq5 - 0 errors, 0 warnings, 2784 ms elapsed, cpu='AVX2 + FMA3'

0	2026.08.13 07:04:53.697	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\ReferenceSafeEA.mq5 - 0 errors, 0 warnings, 584 ms elapsed, cpu='AVX2 + FMA3'

0	2026.08.13 07:07:59.609	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\ReferenceSafeEA.mq5 - 0 errors, 0 warnings, 885 ms elapsed, cpu='AVX2 + FMA3'

0	2026.08.13 20:28:39.929	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Advisors\ExpertMACD.mq5 - 0 errors, 0 warnings, 1148 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:39.947	Compiler	compiled ExpertMACD.mq5
0	2026.08.13 20:28:41.041	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Advisors\ExpertMAMA.mq5 - 0 errors, 0 warnings, 1089 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:41.047	Compiler	compiled ExpertMAMA.mq5
0	2026.08.13 20:28:42.079	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Advisors\ExpertMAPSAR.mq5 - 0 errors, 0 warnings, 1028 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:42.084	Compiler	compiled ExpertMAPSAR.mq5
0	2026.08.13 20:28:43.155	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Advisors\ExpertMAPSARSizeOptimized.mq5 - 0 errors, 0 warnings, 1069 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:43.160	Compiler	compiled ExpertMAPSARSizeOptimized.mq5
0	2026.08.13 20:28:43.592	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Examples\ChartInChart\ChartInChart.mq5 - 0 errors, 0 warnings, 427 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:43.594	Compiler	compiled ChartInChart.mq5
0	2026.08.13 20:28:44.855	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Examples\Controls\Controls.mq5 - 0 errors, 0 warnings, 1257 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:44.860	Compiler	compiled Controls.mq5
0	2026.08.13 20:28:46.581	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Examples\Correlation Matrix 3D\Correlation Matrix 3D.mqproj - 0 errors, 0 warnings, 1717 ms elapsed, cpu='X64 Regular'
0	2026.08.13 20:28:46.585	Compiler	compiled Correlation Matrix 3D.mqproj
0	2026.08.13 20:28:47.101	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Examples\MACD\MACD Sample.mq5 - 0 errors, 0 warnings, 511 ms elapsed without optimizations, cpu='X64 Regular'
0	2026.08.13 20:28:47.104	Compiler	compiled MACD Sample.mq5
0	2026.08.13 20:28:47.655	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Examples\Math 3D\Math 3D.mqproj - 0 errors, 0 warnings, 546 ms elapsed, cpu='X64 Regular'
0	2026.08.13 20:28:47.657	Compiler	compiled Math 3D.mqproj
0	2026.08.13 20:28:49.465	Compile	D:\MT5IndependentCandidateObserver\MQL5\Experts\Examples\Math 3D Morpher\Math 3D Morpher.mqproj - 0 errors, 0 warnings, 1804 ms elapsed, cpu='X64 Regular'
0	2026.08.13 20:28:49.470	Compiler	compiled Math 3D Morpher.mqproj
