ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
1890960174,2026-08-31 05:48:35,1788155315284,1788155315,1788155315284,1,901018,1890960174,3,0.03,4399.65,0.0,0.0,4435.67,0.0,-108.06,XAUUSD,STR S16,
1890960227,2026-08-31 05:48:39,1788155319269,1788155319,1788155319269,1,901018,1890960227,3,0.03,4398.18,0.0,0.0,4435.67,0.0,-112.47,XAUUSD,STR S17,
1890960267,2026-08-31 05:48:41,1788155321432,1788155321,1788155321432,1,901018,1890960267,3,0.03,4396.71,0.0,0.0,4435.67,0.0,-116.88,XAUUSD,STR S18,
1890961802,2026-08-31 14:27:30,1788186450663,1788186450,1788186450663,0,901018,1890961802,3,0.06,4461.39,0.0,0.0,4435.38,0.0,-156.06,XAUUSD,STR B26,
1890961908,2026-08-31 14:28:44,1788186524860,1788186524,1788186524860,0,901018,1890961908,3,0.06,4462.86,0.0,0.0,4435.38,0.0,-164.88,XAUUSD,STR B27,
1891430465,2026-08-31 05:49:18,1788155358863,1788155358,1788155358863,1,901018,1891430465,3,0.01,4401.12,0.0,0.0,4435.67,0.0,-34.55,XAUUSD,STR S15,
1891433216,2026-08-31 05:49:05,1788155345304,1788155345,1788155345304,1,901018,1891433216,3,0.01,4402.59,0.0,0.0,4435.67,0.0,-33.08,XAUUSD,STR S14,
1891474690,2026-08-31 05:51:58,1788155518909,1788155518,1788155518909,1,901018,1891474690,3,0.01,4412.88,0.0,0.0,4435.67,0.0,-22.79,XAUUSD,STR S7,
1891479633,2026-08-31 05:52:17,1788155537419,1788155537,1788155537419,1,901018,1891479633,3,0.01,4414.35,0.0,0.0,4435.67,0.0,-21.32,XAUUSD,STR S6,
1891502136,2026-08-31 07:30:02,1788161402594,1788161402,1788161402594,1,901018,1891502136,3,0.01,4415.82,0.0,0.0,4435.67,0.0,-19.85,XAUUSD,STR S5,
1892103993,2026-08-31 07:35:41,1788161741784,1788161741,1788161741784,1,901018,1892103993,3,0.01,4417.29,0.0,0.0,4435.67,0.0,-18.38,XAUUSD,STR S4,
1892112864,2026-08-31 07:40:37,1788162037308,1788162037,1788162037308,1,901018,1892112864,3,0.01,4418.76,0.0,0.0,4435.67,0.0,-16.91,XAUUSD,STR S3,
1894789452,2026-08-31 14:34:34,1788186874786,1788186874,1788186874786,0,901018,1894789452,3,0.03,4459.92,0.0,0.0,4435.38,0.0,-73.62,XAUUSD,STR B25,
1896478301,2026-08-31 17:28:21,1788197301259,1788197301,1788197301259,1,901018,1896478301,3,0.01,4420.23,0.0,0.0,4435.67,0.0,-15.44,XAUUSD,STR S2,
1896479828,2026-08-31 17:27:18,1788197238967,1788197238,1788197238967,1,901018,1896479828,3,0.01,4421.7,0.0,0.0,4435.67,0.0,-13.97,XAUUSD,STR S1,
1898938690,2026-09-01 03:24:05,1788233045665,1788233045,1788233045665,0,901018,1898938690,3,0.03,4458.45,0.0,0.0,4435.38,0.0,-69.21,XAUUSD,STR B24,
1899092464,2026-09-01 03:55:44,1788234944643,1788234944,1788234944643,0,901018,1899092464,3,0.03,4456.98,0.0,0.0,4435.38,0.0,-64.8,XAUUSD,STR B23,
1899100197,2026-09-01 04:01:08,1788235268170,1788235268,1788235268170,0,901018,1899100197,3,0.03,4455.51,0.0,0.0,4435.38,0.0,-60.39,XAUUSD,STR B22,
1899106848,2026-09-01 03:59:32,1788235172810,1788235172,1788235172810,0,901018,1899106848,3,0.03,4454.04,0.0,0.0,4435.38,0.0,-55.98,XAUUSD,STR B21,
1899143192,2026-09-01 04:02:22,1788235342851,1788235342,1788235342851,0,901018,1899143192,3,0.03,4452.57,0.0,0.0,4435.38,0.0,-51.57,XAUUSD,STR B20,
1899149755,2026-09-01 04:03:32,1788235412707,1788235412,1788235412707,0,901018,1899149755,3,0.03,4451.1,0.0,0.0,4435.38,0.0,-47.16,XAUUSD,STR B19,
1899151264,2026-09-01 04:03:59,1788235439022,1788235439,1788235439022,0,901018,1899151264,3,0.03,4449.63,0.0,0.0,4435.38,0.0,-42.75,XAUUSD,STR B18,
1899164945,2026-09-01 04:06:17,1788235577454,1788235577,1788235577454,0,901018,1899164945,3,0.03,4448.16,0.0,0.0,4435.38,0.0,-38.34,XAUUSD,STR B17,
1899192039,2026-09-01 04:10:28,1788235828220,1788235828,1788235828220,0,901018,1899192039,3,0.03,4446.69,0.0,0.0,4435.38,0.0,-33.93,XAUUSD,STR B16,
1899902950,2026-09-01 06:04:48,1788242688979,1788242688,1788242688979,0,901018,1899902950,3,0.01,4440.81,0.0,0.0,4435.38,0.0,-5.43,XAUUSD,STR B12,
1899940949,2026-09-01 06:13:53,1788243233166,1788243233,1788243233166,0,901018,1899940949,3,0.01,4439.34,0.0,0.0,4435.38,0.0,-3.96,XAUUSD,STR B11,
1899967884,2026-09-01 06:20:13,1788243613206,1788243613,1788243613206,0,901018,1899967884,3,0.01,4436.4,0.0,0.0,4435.38,0.0,-1.02,XAUUSD,STR B9,
1899992235,2026-09-01 06:27:00,1788244020815,1788244020,1788244020815,0,901018,1899992235,3,0.01,4433.46,4433.71,0.0,4435.38,0.0,1.92,XAUUSD,STR B7,
