ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1885768702,2026-08-28 21:40:58,1787953258283,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4475.0,0.0,0.0,4435.67,0.0,XAUUSD,STR B14,
1885768814,2026-08-28 21:40:59,1787953259797,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4423.2,0.0,0.0,4435.38,0.0,XAUUSD,STR S21,
1890960424,2026-08-31 05:04:00,1788152640143,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4395.24,0.0,0.0,4435.38,0.0,XAUUSD,STR S19,
1890960710,2026-08-31 05:04:00,1788152640330,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4393.77,0.0,0.0,4435.38,0.0,XAUUSD,STR S20,
1890960874,2026-08-31 05:04:00,1788152640524,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4392.3,0.0,0.0,4435.38,0.0,XAUUSD,STR S21,
1890960958,2026-08-31 05:04:00,1788152640727,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4390.83,0.0,0.0,4435.38,0.0,XAUUSD,STR S22,
1890961026,2026-08-31 05:04:00,1788152640926,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4389.36,0.0,0.0,4435.38,0.0,XAUUSD,STR S23,
1890961096,2026-08-31 05:04:01,1788152641666,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4387.89,0.0,0.0,4435.38,0.0,XAUUSD,STR S24,
1890961753,2026-08-31 05:04:06,1788152646485,0,0,0,5,0,2,1,901018,0,0,3,0.03,0.03,4386.42,0.0,0.0,4435.38,0.0,XAUUSD,STR S25,
1890961851,2026-08-31 05:04:06,1788152646656,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4384.95,0.0,0.0,4435.38,0.0,XAUUSD,STR S26,
1890961955,2026-08-31 05:04:06,1788152646860,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4383.48,0.0,0.0,4435.38,0.0,XAUUSD,STR S27,
1890961990,2026-08-31 05:04:06,1788152646953,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4464.33,0.0,0.0,4435.67,0.0,XAUUSD,STR B28,
1890962021,2026-08-31 05:04:07,1788152647056,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4382.01,0.0,0.0,4435.38,0.0,XAUUSD,STR S28,
1890962060,2026-08-31 05:04:07,1788152647164,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4465.8,0.0,0.0,4435.67,0.0,XAUUSD,STR B29,
1890962094,2026-08-31 05:04:07,1788152647263,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4380.54,0.0,0.0,4435.38,0.0,XAUUSD,STR S29,
1890962125,2026-08-31 05:04:07,1788152647358,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4467.27,0.0,0.0,4435.67,0.0,XAUUSD,STR B30,
1890962158,2026-08-31 05:04:07,1788152647452,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4379.07,0.0,0.0,4435.38,0.0,XAUUSD,STR S30,
1891452923,2026-08-31 05:50:54,1788155454232,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4404.06,0.0,0.0,4435.38,0.0,XAUUSD,STR S13,
1891455402,2026-08-31 05:51:03,1788155463240,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4405.53,0.0,0.0,4435.38,0.0,XAUUSD,STR S12,
1891459044,2026-08-31 05:51:09,1788155469472,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4407.0,0.0,0.0,4435.38,0.0,XAUUSD,STR S11,
1891462502,2026-08-31 05:51:16,1788155476754,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4408.47,0.0,0.0,4435.38,0.0,XAUUSD,STR S10,
1891468058,2026-08-31 05:51:36,1788155496170,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4409.94,0.0,0.0,4435.38,0.0,XAUUSD,STR S9,
1891470950,2026-08-31 05:51:43,1788155503886,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4411.41,0.0,0.0,4435.38,0.0,XAUUSD,STR S8,
1899651843,2026-09-01 05:24:15,1788240255722,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4445.22,0.0,0.0,4435.67,0.0,XAUUSD,STR B15,
