ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
1549258649,0,1788245632,1788245632152,2,0,0,0,0,0.0,0.0,0.0,0.0,1000.0,0.0,,demo,uac-26025775-178823483214776
1549287423,1900151451,1788246183,1788246183409,1,0,901018,1900151451,3,0.01,4435.87,0.0,0.0,0.0,0.0,XAUUSD,STR S1,
1549299718,1900151464,1788246456,1788246456042,1,0,901018,1900151464,3,0.01,4434.39,0.0,0.0,0.0,0.0,XAUUSD,STR S2,
1549304441,1900151480,1788246505,1788246505337,1,0,901018,1900151480,3,0.01,4432.91,0.0,0.0,0.0,0.0,XAUUSD,STR S3,
1549312111,1900151510,1788246615,1788246615635,1,0,901018,1900151510,3,0.01,4431.43,0.0,0.0,0.0,0.0,XAUUSD,STR S4,
1549342106,1900151532,1788247173,1788247173789,1,0,901018,1900151532,3,0.01,4429.95,0.0,0.0,0.0,0.0,XAUUSD,STR S5,
1549386778,1900151545,1788248483,1788248483303,1,0,901018,1900151545,3,0.01,4428.47,0.0,0.0,0.0,0.0,XAUUSD,STR S6,
1549394150,1900151567,1788248537,1788248537776,1,0,901018,1900151567,3,0.01,4426.99,0.0,0.0,0.0,0.0,XAUUSD,STR S7,
1549411717,1900151634,1788248793,1788248793149,1,0,901018,1900151634,3,0.01,4425.51,0.0,0.0,0.0,0.0,XAUUSD,STR S8,
1549548787,1900151663,1788251404,1788251404703,1,0,901018,1900151663,3,0.01,4424.03,0.0,0.0,0.0,0.0,XAUUSD,STR S9,
1549555911,1900561707,1788251441,1788251441935,0,1,901018,1900151451,4,0.01,4429.54,0.0,0.0,6.33,0.0,XAUUSD,[sl 4429.54],
1549555913,1900561708,1788251441,1788251441937,0,1,901018,1900151464,4,0.01,4429.54,0.0,0.0,4.85,0.0,XAUUSD,[sl 4429.54],
1549555914,1900561709,1788251441,1788251441938,0,1,901018,1900151480,4,0.01,4429.54,0.0,0.0,3.37,0.0,XAUUSD,[sl 4429.54],
1549555915,1900561710,1788251441,1788251441941,0,1,901018,1900151510,4,0.01,4429.54,0.0,0.0,1.8900000000000001,0.0,XAUUSD,[sl 4429.54],
1549555916,1900561711,1788251441,1788251441941,0,1,901018,1900151532,4,0.01,4429.54,0.0,0.0,0.41,0.0,XAUUSD,[sl 4429.54],
1549607832,1900151435,1788251926,1788251926494,0,0,901018,1900151435,3,0.01,4438.83,0.0,0.0,0.0,0.0,XAUUSD,STR B1,
1549611571,1900151456,1788251944,1788251944977,0,0,901018,1900151456,3,0.01,4440.31,0.0,0.0,0.0,0.0,XAUUSD,STR B2,
1549613920,1900151474,1788251955,1788251955667,0,0,901018,1900151474,3,0.01,4441.79,0.0,0.0,0.0,0.0,XAUUSD,STR B3,
1549647617,1900151495,1788252292,1788252292361,0,0,901018,1900151495,3,0.01,4443.27,0.0,0.0,0.0,0.0,XAUUSD,STR B4,
1549652898,1900151517,1788252316,1788252316743,0,0,901018,1900151517,3,0.01,4444.75,0.0,0.0,0.0,0.0,XAUUSD,STR B5,
1549707125,1900151541,1788253057,1788253057504,0,0,901018,1900151541,3,0.01,4446.23,0.0,0.0,0.0,0.0,XAUUSD,STR B6,
1550102031,1900151676,1788258629,1788258629109,1,0,901018,1900151676,3,0.01,4422.55,0.0,0.0,0.0,0.0,XAUUSD,STR S10,
1550107546,1900151726,1788258643,1788258643864,1,0,901018,1900151726,3,0.06,4421.07,0.0,0.0,0.0,0.0,XAUUSD,STR S11,
1550112978,1900156099,1788258659,1788258659029,1,0,901018,1900156099,3,0.06,4419.59,0.0,0.0,0.0,0.0,XAUUSD,STR S12,
1550188648,1900156162,1788259197,1788259197293,1,0,901018,1900156162,3,0.06,4418.11,0.0,0.0,0.0,0.0,XAUUSD,STR S13,
1551093716,1902668939,1788264471,1788264471559,0,1,901018,1900151545,4,0.01,4374.07,0.0,0.0,54.4,0.0,XAUUSD,[sl 4374.07],
1551093718,1902668940,1788264471,1788264471559,0,1,901018,1900151567,4,0.01,4374.07,0.0,0.0,52.92,0.0,XAUUSD,[sl 4374.07],
1551093720,1902668941,1788264471,1788264471560,0,1,901018,1900151634,4,0.01,4374.07,0.0,0.0,51.44,0.0,XAUUSD,[sl 4374.07],
1551093721,1902668942,1788264471,1788264471560,0,1,901018,1900151663,4,0.01,4374.07,0.0,0.0,49.96,0.0,XAUUSD,[sl 4374.07],
