Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment,
2026.06.12 12:20:49.599,2327976,,balance,,,,,0,0,0,0.00,0.00,Initial balance from CRM,
2026.06.19 17:13:39.962,2338845,,balance,,,,,0,0,0,2000.00,2000.00,Deposit from #USDT TRC20,
2026.06.23 16:17:39.674,2341790,XAUUSD,sell,in,0.01,4135.80,20175420,0.00,0.00,0.00,0.00,2000.00,STR S1,
2026.06.23 16:18:10.398,2341791,XAUUSD,sell,in,0.01,4134.63,20175422,0.00,0.00,0.00,0.00,2000.00,STR S2,
2026.06.23 16:18:20.298,2341792,XAUUSD,sell,in,0.01,4133.64,20175424,0.00,0.00,0.00,0.00,2000.00,STR S3,
2026.06.23 16:18:34.403,2341795,XAUUSD,buy,out,0.01,4135.53,20175521,0.00,0.00,0.00,0.27,2000.27,[sl 4135.53],
2026.06.23 16:18:44.504,2341799,XAUUSD,sell,in,0.01,4135.84,20175523,0.00,0.00,0.00,0.00,2000.27,STR S1,
2026.06.23 16:19:09.167,2341801,XAUUSD,buy,in,0.01,4138.05,20175419,0.00,0.00,0.00,0.00,2000.27,STR B1,
2026.06.23 16:19:26.833,2341804,XAUUSD,buy,in,0.01,4139.39,20175421,0.00,0.00,0.00,0.00,2000.27,STR B2,
2026.06.23 16:19:28.349,2341805,XAUUSD,buy,in,0.01,4140.31,20175423,0.00,0.00,0.00,0.00,2000.27,STR B3,
2026.06.23 16:19:34.187,2341810,XAUUSD,buy,in,0.01,4141.51,20175425,0.00,0.00,0.00,0.00,2000.27,STR B4,
2026.06.23 16:20:34.834,2341812,XAUUSD,sell,out,0.01,4139.54,20175533,0.00,0.00,0.00,1.49,2001.76,[sl 4139.83],
2026.06.23 16:20:34.834,2341813,XAUUSD,sell,out,0.01,4139.54,20175534,0.00,0.00,0.00,0.15,2001.91,[sl 4139.78],
2026.06.23 16:23:05.671,2341815,XAUUSD,buy,in,0.01,4138.05,20175536,0.00,0.00,0.00,0.00,2001.91,STR B1,
2026.06.23 16:23:17.015,2341816,XAUUSD,buy,in,0.01,4139.28,20175535,0.00,0.00,0.00,0.00,2001.91,STR B2,
2026.06.23 16:23:42.200,2341817,XAUUSD,buy,in,0.01,4142.47,20175427,0.00,0.00,0.00,0.00,2001.91,STR B5,
2026.06.23 16:23:51.727,2341820,XAUUSD,sell,out,0.01,4140.47,20175541,0.00,0.00,0.00,0.16,2002.07,[sl 4140.57],
2026.06.23 16:23:51.727,2341821,XAUUSD,sell,out,0.01,4140.47,20175542,0.00,0.00,0.00,1.19,2003.26,[sl 4140.57],
2026.06.23 16:23:51.728,2341822,XAUUSD,sell,out,0.01,4140.47,20175543,0.00,0.00,0.00,2.42,2005.68,[sl 4140.57],
2026.06.23 16:24:04.030,2341824,XAUUSD,buy,in,0.01,4139.22,20175545,0.00,0.00,0.00,0.00,2005.68,STR B2,
2026.06.23 16:24:20.294,2341825,XAUUSD,buy,in,0.01,4138.04,20175546,0.00,0.00,0.00,0.00,2005.68,STR B1,
2026.06.23 16:26:14.348,2341834,XAUUSD,sell,in,0.01,4132.53,20175426,0.00,0.00,0.00,0.00,2005.68,STR S4,
2026.06.23 16:26:21.690,2341836,XAUUSD,sell,in,0.01,4131.13,20175428,0.00,0.00,0.00,0.00,2005.68,STR S5,
2026.06.23 16:27:05.043,2341841,XAUUSD,buy,out,0.01,4133.70,20175584,0.00,0.00,0.00,2.14,2007.82,[sl 4133.70],
2026.06.23 16:27:05.043,2341842,XAUUSD,buy,out,0.01,4133.70,20175585,0.00,0.00,0.00,0.93,2008.75,[sl 4133.70],
2026.06.23 16:27:48.578,2341843,XAUUSD,sell,in,0.01,4130.27,20175430,0.00,0.00,0.00,0.00,2008.75,STR S6,
2026.06.23 16:28:05.494,2341846,XAUUSD,sell,in,0.01,4129.22,20175432,0.00,0.00,0.00,0.00,2008.75,STR S7,
2026.06.23 16:28:48.974,2341851,XAUUSD,buy,out,0.01,4131.32,20175592,0.00,0.00,0.00,2.32,2011.07,[sl 4131.32],
2026.06.23 16:28:48.975,2341852,XAUUSD,buy,out,0.01,4131.32,20175593,0.00,0.00,0.00,1.21,2012.28,[sl 4131.32],
2026.06.23 16:31:29.977,2341859,XAUUSD,sell,in,0.01,4128.13,20175434,0.00,0.00,0.00,0.00,2012.28,STR S8,
2026.06.23 16:33:35.435,2341878,XAUUSD,buy,out,0.01,4129.68,20175619,0.00,0.00,0.00,1.45,2013.73,[sl 4129.58],
2026.06.23 16:33:35.436,2341879,XAUUSD,buy,out,0.01,4129.68,20175620,0.00,0.00,0.00,0.59,2014.32,[sl 4129.58],
2026.06.23 16:33:58.694,2341880,XAUUSD,sell,in,0.01,4126.92,20175436,0.00,0.00,0.00,0.00,2014.32,STR S9,
2026.06.23 16:34:04.262,2341881,XAUUSD,sell,in,0.01,4125.47,20175438,0.00,0.00,0.00,0.00,2014.32,STR S10,
2026.06.23 16:34:05.056,2341882,XAUUSD,sell,in,0.01,4124.67,20175440,0.00,0.00,0.00,0.00,2014.32,STR S11,
2026.06.23 16:34:56.579,2341883,XAUUSD,buy,out,0.01,4127.19,20175621,0.00,0.00,0.00,2.03,2016.35,[sl 4127.19],
2026.06.23 16:34:56.579,2341884,XAUUSD,buy,out,0.01,4127.19,20175622,0.00,0.00,0.00,0.94,2017.29,[sl 4127.19],
2026.06.23 16:36:10.935,2341886,XAUUSD,sell,in,0.01,4128.10,20175624,0.00,0.00,0.00,0.00,2017.29,STR S8,
2026.06.23 16:38:47.370,2341888,XAUUSD,sell,in,0.01,4123.72,20175442,0.00,0.00,0.00,0.00,2017.29,STR S12,
2026.06.23 16:40:03.773,2341889,XAUUSD,buy,out,0.01,4125.58,20175625,0.00,0.00,0.00,1.34,2018.63,[sl 4125.50],
2026.06.23 16:40:03.773,2341890,XAUUSD,buy,out,0.01,4125.58,20175626,0.00,0.00,0.00,2.52,2021.15,[sl 4125.50],
2026.06.23 16:43:22.863,2341898,XAUUSD,sell,in,0.01,4126.67,20175633,0.00,0.00,0.00,0.00,2021.15,STR S9,
2026.06.23 16:43:45.465,2341900,XAUUSD,sell,in,0.01,4128.09,20175635,0.00,0.00,0.00,0.00,2021.15,STR S8,
2026.06.23 16:45:11.991,2341901,XAUUSD,buy,out,0.01,4127.05,20175636,0.00,0.00,0.00,1.04,2022.19,[sl 4126.96],
2026.06.23 16:50:44.675,2341902,XAUUSD,buy,out,0.01,4126.28,20175637,0.00,0.00,0.00,0.39,2022.58,[sl 4126.26],
2026.06.23 16:51:29.769,2341904,XAUUSD,sell,in,0.01,4129.24,20175642,0.00,0.00,0.00,0.00,2022.58,STR S7,
2026.06.23 16:51:39.235,2341905,XAUUSD,sell,in,0.01,4128.13,20175641,0.00,0.00,0.00,0.00,2022.58,STR S8,
2026.06.23 16:54:14.668,2341907,XAUUSD,sell,in,0.01,4127.02,20175639,0.00,0.00,0.00,0.00,2022.58,STR S9,
2026.06.23 16:55:45.321,2341908,XAUUSD,buy,out,0.01,4129.10,20175643,0.00,0.00,0.00,0.14,2022.72,[sl 4129.10],
2026.06.23 16:57:23.618,2341909,XAUUSD,buy,out,0.01,4127.88,20175644,0.00,0.00,0.00,0.25,2022.97,[sl 4127.79],
2026.06.23 16:58:06.852,2341910,XAUUSD,sell,in,0.01,4128.11,20175645,0.00,0.00,0.00,0.00,2022.97,STR S8,
2026.06.23 16:59:36.166,2341911,XAUUSD,sell,in,0.01,4128.98,20175646,0.00,0.00,0.00,0.00,2022.97,STR S7,
2026.06.23 17:00:38.328,2341914,XAUUSD,sell,in,0.01,4131.33,20175649,0.00,0.00,0.00,0.00,2022.97,STR S5,
2026.06.23 17:00:54.706,2341915,XAUUSD,sell,in,0.01,4130.23,20175647,0.00,0.00,0.00,0.00,2022.97,STR S6,
2026.06.23 17:01:23.661,2341916,XAUUSD,sell,in,0.01,4133.63,20175652,0.00,0.00,0.00,0.00,2022.97,STR S3,
2026.06.23 17:01:33.132,2341917,XAUUSD,sell,in,0.01,4132.46,20175651,0.00,0.00,0.00,0.00,2022.97,STR S4,
2026.06.23 17:05:08.121,2341920,XAUUSD,sell,in,0.01,4134.70,20175655,0.00,0.00,0.00,0.00,2022.97,STR S2,
2026.06.23 17:10:03.476,2341926,XAUUSD,buy,out,0.01,4126.41,20175685,0.00,0.00,0.00,0.61,2023.58,[sl 4126.27],
2026.06.23 17:10:03.477,2341927,XAUUSD,buy,out,0.01,4126.41,20175686,0.00,0.00,0.00,1.70,2025.28,[sl 4126.27],
2026.06.23 17:10:03.477,2341928,XAUUSD,buy,out,0.01,4126.41,20175687,0.00,0.00,0.00,2.57,2027.85,[sl 4126.27],
2026.06.23 17:10:03.477,2341929,XAUUSD,buy,out,0.01,4126.41,20175688,0.00,0.00,0.00,3.82,2031.67,[sl 4126.27],
2026.06.23 17:10:03.477,2341930,XAUUSD,buy,out,0.01,4126.41,20175689,0.00,0.00,0.00,4.92,2036.59,[sl 4126.10],
2026.06.23 17:10:03.477,2341931,XAUUSD,buy,out,0.01,4126.41,20175690,0.00,0.00,0.00,6.05,2042.64,[sl 4126.26],
2026.06.23 17:10:03.477,2341932,XAUUSD,buy,out,0.01,4126.41,20175691,0.00,0.00,0.00,7.22,2049.86,[sl 4126.27],
2026.06.23 17:10:03.477,2341933,XAUUSD,buy,out,0.01,4126.41,20175692,0.00,0.00,0.00,8.29,2058.15,[sl 4126.27],
2026.06.23 17:11:43.733,2341937,XAUUSD,sell,in,0.01,4126.52,20175695,0.00,0.00,0.00,0.00,2058.15,STR S9,
2026.06.23 17:15:10.645,2341938,XAUUSD,sell,in,0.01,4128.14,20175696,0.00,0.00,0.00,0.00,2058.15,STR S8,
2026.06.23 17:17:09.345,2341939,XAUUSD,sell,in,0.01,4129.22,20175697,0.00,0.00,0.00,0.00,2058.15,STR S7,
