kind,t,cycle,side,lvl,vol,price,open_p,close_p,profit,reason,anchor,step
order_place,2026-07-14T00:01:03.220000,1,B,1,0.01,4005.14,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,1,0.01,4002.48,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,2,0.01,4006.48,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,2,0.01,4001.14,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,3,0.01,4007.81,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,3,0.01,3999.81,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,4,0.01,4009.15,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,4,0.01,3998.4700000000003,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,5,0.01,4010.48,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,5,0.01,3997.14,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,6,0.01,4011.82,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,6,0.01,3995.8,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,7,0.01,4013.15,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,7,0.01,3994.4700000000003,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,8,0.01,4014.4900000000002,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,8,0.01,3993.13,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,9,0.01,4015.82,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,9,0.01,3991.8,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,10,0.01,4017.1600000000003,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,10,0.01,3990.46,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,11,0.06,4018.4900000000002,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,11,0.06,3989.13,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,12,0.06,4019.83,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,12,0.06,3987.79,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,13,0.06,4021.1600000000003,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,13,0.06,3986.46,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,14,0.06,4022.4900000000002,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,14,0.06,3985.13,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,15,0.06,4023.83,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,15,0.06,3983.79,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,16,0.06,4025.1600000000003,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,16,0.06,3982.46,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,17,0.06,4026.5,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,17,0.06,3981.12,,,,,,
order_place,2026-07-14T00:01:03.220000,1,B,18,0.06,4027.83,,,,,,
order_place,2026-07-14T00:01:03.220000,1,S,18,0.06,3979.79,,,,,,
