Open Time,Order,Symbol,Type,Volume,Price,S / L,T / P,Market Price,State,None,Comment,None,None,None,None
2026.07.30 17:12:10.002,20961472,XAUUSD,sell stop,0.01 / 0,4082.11,,,4094.15,placed,,STR S4,,,,
2026.07.30 17:12:10.204,20961474,XAUUSD,sell stop,0.01 / 0,4080.75,,,4094.15,placed,,STR S5,,,,
2026.07.30 17:12:10.403,20961476,XAUUSD,sell stop,0.01 / 0,4079.39,,,4094.15,placed,,STR S6,,,,
2026.07.30 17:12:10.601,20961478,XAUUSD,sell stop,0.01 / 0,4078.03,,,4094.15,placed,,STR S7,,,,
2026.07.30 17:12:10.704,20961479,XAUUSD,buy stop,0.01 / 0,4098.43,,,4094.43,placed,,STR B8,,,,
2026.07.30 17:12:10.804,20961480,XAUUSD,sell stop,0.01 / 0,4076.67,,,4094.15,placed,,STR S8,,,,
2026.07.30 17:12:10.905,20961481,XAUUSD,buy stop,0.01 / 0,4099.79,,,4094.43,placed,,STR B9,,,,
2026.07.30 17:12:11.004,20961482,XAUUSD,sell stop,0.01 / 0,4075.31,,,4094.15,placed,,STR S9,,,,
2026.07.30 17:12:11.103,20961483,XAUUSD,buy stop,0.01 / 0,4101.15,,,4094.43,placed,,STR B10,,,,
2026.07.30 17:12:11.203,20961484,XAUUSD,sell stop,0.01 / 0,4073.95,,,4094.15,placed,,STR S10,,,,
2026.07.30 17:12:11.315,20961485,XAUUSD,buy stop,0.06 / 0,4102.51,,,4094.43,placed,,STR B11,,,,
2026.07.30 17:12:11.415,20961486,XAUUSD,sell stop,0.06 / 0,4072.59,,,4094.15,placed,,STR S11,,,,
2026.07.30 17:12:11.515,20961487,XAUUSD,buy stop,0.06 / 0,4103.87,,,4094.43,placed,,STR B12,,,,
2026.07.30 17:12:11.614,20961488,XAUUSD,sell stop,0.06 / 0,4071.23,,,4094.15,placed,,STR S12,,,,
2026.07.30 17:12:11.714,20961489,XAUUSD,buy stop,0.06 / 0,4105.23,,,4094.43,placed,,STR B13,,,,
2026.07.30 17:12:11.817,20961490,XAUUSD,sell stop,0.06 / 0,4069.87,,,4094.15,placed,,STR S13,,,,
2026.07.30 17:12:11.919,20961491,XAUUSD,buy stop,0.06 / 0,4106.59,,,4094.43,placed,,STR B14,,,,
2026.07.30 17:12:12.019,20961492,XAUUSD,sell stop,0.06 / 0,4068.51,,,4094.15,placed,,STR S14,,,,
2026.07.30 17:12:12.119,20961493,XAUUSD,buy stop,0.06 / 0,4107.95,,,4094.43,placed,,STR B15,,,,
2026.07.30 17:12:12.219,20961494,XAUUSD,sell stop,0.06 / 0,4067.15,,,4094.15,placed,,STR S15,,,,
2026.07.30 17:12:12.319,20961495,XAUUSD,buy stop,0.06 / 0,4109.31,,,4094.43,placed,,STR B16,,,,
2026.07.30 17:12:12.420,20961496,XAUUSD,sell stop,0.06 / 0,4065.79,,,4094.15,placed,,STR S16,,,,
2026.07.30 17:12:12.521,20961497,XAUUSD,buy stop,0.06 / 0,4110.67,,,4094.43,placed,,STR B17,,,,
2026.07.30 17:12:12.622,20961498,XAUUSD,sell stop,0.06 / 0,4064.43,,,4094.15,placed,,STR S17,,,,
2026.07.30 17:12:12.736,20961499,XAUUSD,buy stop,0.06 / 0,4112.03,,,4094.43,placed,,STR B18,,,,
2026.07.30 17:12:12.835,20961500,XAUUSD,sell stop,0.06 / 0,4063.07,,,4094.15,placed,,STR S18,,,,
